Régions,Sexe,Milieu,AgeRange,Population,,
Gouvernorat de Tunis,Masculin,Communal,5-9  ans,35990,,
Gouvernorat de Tunis,Masculin,Communal,10-14 ans,34008,,
Gouvernorat de Tunis,Masculin,Communal,15-19 ans,36310,,
Gouvernorat de Tunis,Masculin,Communal,20-29 ans,92117,,
Gouvernorat de Tunis,Féminin,Communal,5-9  ans,33676,,
Gouvernorat de Tunis,Féminin,Communal,10-14 ans,31753,,
Gouvernorat de Tunis,Féminin,Communal,15-19 ans,34193,,
Gouvernorat de Tunis,Féminin,Communal,20-29 ans,92155,,
Gouvernorat de L'Ariana,Masculin,Communal,5-9  ans,19958,,
Gouvernorat de L'Ariana,Masculin,Communal,10-14 ans,17552,,
Gouvernorat de L'Ariana,Masculin,Communal,15-19 ans,17802,,
Gouvernorat de L'Ariana,Masculin,Communal,20-29 ans,44488,,
Gouvernorat de L'Ariana,Masculin,Rural,5-9  ans,2740,,
Gouvernorat de L'Ariana,Masculin,Rural,10-14 ans,2429,,
Gouvernorat de L'Ariana,Masculin,Rural,15-19 ans,2326,,
Gouvernorat de L'Ariana,Masculin,Rural,20-29 ans,5164,,
Gouvernorat de L'Ariana,Féminin,Communal,5-9  ans,18160,,
Gouvernorat de L'Ariana,Féminin,Communal,10-14 ans,16269,,
Gouvernorat de L'Ariana,Féminin,Communal,15-19 ans,16937,,
Gouvernorat de L'Ariana,Féminin,Communal,20-29 ans,46131,,
Gouvernorat de L'Ariana,Féminin,Rural,5-9  ans,2658,,
Gouvernorat de L'Ariana,Féminin,Rural,10-14 ans,2414,,
Gouvernorat de L'Ariana,Féminin,Rural,15-19 ans,2215,,
Gouvernorat de L'Ariana,Féminin,Rural,20-29 ans,5483,,
Gouvernorat de Ben Arous,Masculin,Communal,5-9  ans,22054,,
Gouvernorat de Ben Arous,Masculin,Communal,10-14 ans,20081,,
Gouvernorat de Ben Arous,Masculin,Communal,15-19 ans,20406,,
Gouvernorat de Ben Arous,Masculin,Communal,20-29 ans,47421,,
Gouvernorat de Ben Arous,Masculin,Rural,5-9  ans,2503,,
Gouvernorat de Ben Arous,Masculin,Rural,10-14 ans,2157,,
Gouvernorat de Ben Arous,Masculin,Rural,15-19 ans,2293,,
Gouvernorat de Ben Arous,Masculin,Rural,20-29 ans,5153,,
Gouvernorat de Ben Arous,Féminin,Communal,5-9  ans,20870,,
Gouvernorat de Ben Arous,Féminin,Communal,10-14 ans,18682,,
Gouvernorat de Ben Arous,Féminin,Communal,15-19 ans,19370,,
Gouvernorat de Ben Arous,Féminin,Communal,20-29 ans,49449,,
Gouvernorat de Ben Arous,Féminin,Rural,5-9  ans,2292,,
Gouvernorat de Ben Arous,Féminin,Rural,10-14 ans,2119,,
Gouvernorat de Ben Arous,Féminin,Rural,15-19 ans,2224,,
Gouvernorat de Ben Arous,Féminin,Rural,20-29 ans,5164,,
Gouvernorat de Manouba,Masculin,Communal,5-9  ans,10685,,
Gouvernorat de Manouba,Masculin,Communal,10-14 ans,9733,,
Gouvernorat de Manouba,Masculin,Communal,15-19 ans,10387,,
Gouvernorat de Manouba,Masculin,Communal,20-29 ans,25245,,
Gouvernorat de Manouba,Masculin,Rural,5-9  ans,3522,,
Gouvernorat de Manouba,Masculin,Rural,10-14 ans,3169,,
Gouvernorat de Manouba,Masculin,Rural,15-19 ans,3314,,
Gouvernorat de Manouba,Masculin,Rural,20-29 ans,7886,,
Gouvernorat de Manouba,Féminin,Communal,5-9  ans,9940,,
Gouvernorat de Manouba,Féminin,Communal,10-14 ans,9217,,
Gouvernorat de Manouba,Féminin,Communal,15-19 ans,9729,,
Gouvernorat de Manouba,Féminin,Communal,20-29 ans,25407,,
Gouvernorat de Manouba,Féminin,Rural,5-9  ans,3309,,
Gouvernorat de Manouba,Féminin,Rural,10-14 ans,3069,,
Gouvernorat de Manouba,Féminin,Rural,15-19 ans,3231,,
Gouvernorat de Manouba,Féminin,Rural,20-29 ans,7335,,
Gouvernorat de Nabeul,Masculin,Communal,5-9  ans,21514,,
Gouvernorat de Nabeul,Masculin,Communal,10-14 ans,19977,,
Gouvernorat de Nabeul,Masculin,Communal,15-19 ans,20787,,
Gouvernorat de Nabeul,Masculin,Communal,20-29 ans,43877,,
Gouvernorat de Nabeul,Masculin,Rural,5-9  ans,10555,,
Gouvernorat de Nabeul,Masculin,Rural,10-14 ans,9437,,
Gouvernorat de Nabeul,Masculin,Rural,15-19 ans,9578,,
Gouvernorat de Nabeul,Masculin,Rural,20-29 ans,21387,,
Gouvernorat de Nabeul,Féminin,Communal,5-9  ans,20526,,
Gouvernorat de Nabeul,Féminin,Communal,10-14 ans,18967,,
Gouvernorat de Nabeul,Féminin,Communal,15-19 ans,19299,,
Gouvernorat de Nabeul,Féminin,Communal,20-29 ans,43020,,
Gouvernorat de Nabeul,Féminin,Rural,5-9  ans,9690,,
Gouvernorat de Nabeul,Féminin,Rural,10-14 ans,8732,,
Gouvernorat de Nabeul,Féminin,Rural,15-19 ans,9317,,
Gouvernorat de Nabeul,Féminin,Rural,20-29 ans,20922,,
Gouvernorat de Zaghouan,Masculin,Communal,5-9  ans,3268,,
Gouvernorat de Zaghouan,Masculin,Communal,10-14 ans,2920,,
Gouvernorat de Zaghouan,Masculin,Communal,15-19 ans,2717,,
Gouvernorat de Zaghouan,Masculin,Communal,20-29 ans,6023,,
Gouvernorat de Zaghouan,Masculin,Rural,5-9  ans,4056,,
