"Clé","Name (English)","اسم (العربية)","Nom (français)","ISO","Propriétaire (Id)","Propriétaire (Nom)"
"0","Tunisia","تونس","Tunisie","","",""
"28629509","Tunis District","إقليم تونس الكبرى","District de Tunis","","0","Tunisie"
"1","North East","إقليم الشمال الشرقي","Nord Est","","0","Tunisie"
"11","Governorate of Tunis","ولاية تونس","Gouvernorat de Tunis","TN-11","1","Nord Est"
"1151","Delegation of Carthage","معتمدية  قرطاج","Délégation de Carthage","","11","Gouvernorat de Tunis"
"1152","Delegation of La Medina","معتمدية  تونس المدينة","Délégation de La Medina","","11","Gouvernorat de Tunis"
"27679359","La Medina","المدينة","La Medina","","1152","Délégation de La Medina"
"27679369","El Hafsia","الحفصية","El Hafsia","","1152","Délégation de La Medina"
"27679379","Bab Bénat","باب البنات","Bab Bénat","","1152","Délégation de La Medina"
"27679389","Souk El Nhes","سوق النحاس","Souk El Nhes","","1152","Délégation de La Medina"
"27679399","El Assouak","الأسواق","El Assouak","","1152","Délégation de La Medina"
"27679409","Bab Mnara","باب المنارة","Bab Mnara","","1152","Délégation de La Medina"
"27679419","Tourbet El Bey","تربة الباي","Tourbet El Bey","","1152","Délégation de La Medina"
"27679429","El Zraria","الزرارعية","El Zraria","","1152","Délégation de La Medina"
"27679439","Sidi Ali Azouz","سيدي علي عزوز","Sidi Ali Azouz","","1152","Délégation de La Medina"
"27679449","El Taoufik","التوفيق","El Taoufik","","1152","Délégation de La Medina"
"27679459","El Sabaghine","الصباغين","El Sabaghine","","1152","Délégation de La Medina"
"27679469","Sidi Boumendil","سيدي بومنديل","Sidi Boumendil","","1152","Délégation de La Medina"
"1153","Delegation of Bab El Bhar","معتمدية  باب بحر","Délégation de Bab El Bhar","","11","Gouvernorat de Tunis"
"27679479","Bab El Bhar","باب البحر","Bab El Bhar","","1153","Délégation de Bab El Bhar"
"27679489","Les Jardins","الحدائق","Les Jardins","","1153","Délégation de Bab El Bhar"
"27679499","Lac de Tunis","بحيرة تونس","Lac de Tunis","","1153","Délégation de Bab El Bhar"
"27679509","Mongi Slim","المنجي سليم","Mongi Slim","","1153","Délégation de Bab El Bhar"
"27679519","Habib Thameur","الحبيب ثامر","Habib Thameur","","1153","Délégation de Bab El Bhar"
