Gouvernorat,Region,District
Gouvernorat de Tunis,Nord,Nord-Est
Gouvernorat de l’Ariana,Nord,Nord-Est
Gouvernorat de Ben Arous,Nord,Nord-Est
Gouvernorat de La Manouba,Nord,Nord-Est
Gouvernorat de Nabeul,Nord,Nord-Est
Gouvernorat de Bizerte,Nord,Nord-Est
Gouvernorat de Béja,Nord,Nord-Ouest
Gouvernorat de Jendouba,Nord,Nord-Ouest
Gouvernorat du Kef,Nord,Nord-Ouest
Gouvernorat de Siliana,Nord,Nord-Ouest
Gouvernorat de Sousse,Centre,Centre-Est
Gouvernorat de Monastir,Centre,Centre-Est
Gouvernorat de Mahdia,Centre,Centre-Est
Gouvernorat de Kairouan,Centre,Centre-Ouest
Gouvernorat de Kasserine,Centre,Centre-Ouest
Gouvernorat de Sidi Bouzid,Centre,Centre-Ouest
Gouvernorat de Sfax,Centre,Centre-Est
Gouvernorat de Gabès,Sud,Sud-Est
Gouvernorat de Médenine,Sud,Sud-Est
Gouvernorat de Tataouine,Sud,Sud-Est
Gouvernorat de Gafsa,Sud,Sud-Ouest
Gouvernorat de Tozeur,Sud,Sud-Ouest
Gouvernorat de Kébili,Sud,Sud-Ouest
