Indicateurs: Clé;Indicateurs: Description;Indicateurs: Unité;Indicateurs: Source;Indicateurs: Date de mise à jour;Indicateurs: Commentaire;Indicateurs: Méthodologie;Indicateurs: Nom complet;Date;Fréquence;Milieu: Clé;Milieu: Code;Milieu: Nom;Sexe: Clé;Sexe: Code;Sexe: Nom;Régions: Clé;Régions: ISO;Régions: Nom;Faits: Valeur
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;11;TN-11;Gouvernorat de Tunis;4084
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;11;TN-11;Gouvernorat de Tunis;1698
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;12;TN-12;Gouvernorat de L'Ariana;1561
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;12;TN-12;Gouvernorat de L'Ariana;679
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;12;TN-12;Gouvernorat de L'Ariana;147
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;12;TN-12;Gouvernorat de L'Ariana;50
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;63;TN-73;Gouvernorat de Kébili;308
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;63;TN-73;Gouvernorat de Kébili;33
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;62;TN-72;Gouvernorat de Tozeur;226
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;62;TN-72;Gouvernorat de Tozeur;60
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;62;TN-72;Gouvernorat de Tozeur;85
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;62;TN-72;Gouvernorat de Tozeur;7
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;63;TN-73;Gouvernorat de Kébili;677
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;63;TN-73;Gouvernorat de Kébili;97
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;53;TN-83;Gouvernorat de Tataouine;966
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;53;TN-83;Gouvernorat de Tataouine;35
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;61;TN-71;Gouvernorat de Gafsa;1085
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;61;TN-71;Gouvernorat de Gafsa;207
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;61;TN-71;Gouvernorat de Gafsa;256
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;61;TN-71;Gouvernorat de Gafsa;22
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;52;TN-82;Gouvernorat de Medenine;5190
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;52;TN-82;Gouvernorat de Medenine;543
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;52;TN-82;Gouvernorat de Medenine;1041
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;52;TN-82;Gouvernorat de Medenine;44
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;53;TN-83;Gouvernorat de Tataouine;1251
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;53;TN-83;Gouvernorat de Tataouine;163
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;43;TN-43;Gouvernorat de Sidi Bouzid;1022
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;43;TN-43;Gouvernorat de Sidi Bouzid;76
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;51;TN-81;Gouvernorat de Gabès;1984
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;51;TN-81;Gouvernorat de Gabès;293
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;51;TN-81;Gouvernorat de Gabès;1117
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;51;TN-81;Gouvernorat de Gabès;51
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;42;TN-42;Gouvernorat de Kasserine;667
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;42;TN-42;Gouvernorat de Kasserine;135
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;42;TN-42;Gouvernorat de Kasserine;668
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;42;TN-42;Gouvernorat de Kasserine;42
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;43;TN-43;Gouvernorat de Sidi Bouzid;450
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;43;TN-43;Gouvernorat de Sidi Bouzid;91
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;34;TN-61;Gouvernorat de Sfax;1413
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;34;TN-61;Gouvernorat de Sfax;85
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;41;TN-41;Gouvernorat de Kairouan;874
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;41;TN-41;Gouvernorat de Kairouan;211
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;41;TN-41;Gouvernorat de Kairouan;1564
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;41;TN-41;Gouvernorat de Kairouan;95
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;33;TN-53;Gouvernorat de Mahdia;1797
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;33;TN-53;Gouvernorat de Mahdia;226
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;33;TN-53;Gouvernorat de Mahdia;3533
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;33;TN-53;Gouvernorat de Mahdia;130
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;34;TN-61;Gouvernorat de Sfax;1691
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;34;TN-61;Gouvernorat de Sfax;481
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;31;TN-51;Gouvernorat de Sousse;2900
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;31;TN-51;Gouvernorat de Sousse;827
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;31;TN-51;Gouvernorat de Sousse;802
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;31;TN-51;Gouvernorat de Sousse;65
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;32;TN-52;Gouvernorat de Monastir;2946
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;32;TN-52;Gouvernorat de Monastir;553
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;23;TN-33;Gouvernorat du Kef;221
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;23;TN-33;Gouvernorat du Kef;63
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;24;TN-34;Gouvernorat de Siliana;322
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;24;TN-34;Gouvernorat de Siliana;89
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;24;TN-34;Gouvernorat de Siliana;467
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;24;TN-34;Gouvernorat de Siliana;69
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;22;TN-32;Gouvernorat de Jendouba;622
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;22;TN-32;Gouvernorat de Jendouba;200
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;22;TN-32;Gouvernorat de Jendouba;942
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013309;3;Féminin;22;TN-32;Gouvernorat de Jendouba;161
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013299;2;Masculin;23;TN-33;Gouvernorat du Kef;626
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013269;2;Communal;28013309;3;Féminin;23;TN-33;Gouvernorat du Kef;219
28013339;;Number;National Institute of Statistics;2016-08-25 02:11:51;;;Nombre des émigrants sortant de la Tunisie entre 2009 et 2014;2014-01-01 00:00:00;Annuel;28013279;3;Rural;28013299;2;Masculin;17;TN-23;Gouvernorat de Bizerte;269
