Indicateurs: Clé;Indicateurs: Description;Indicateurs: Unité;Indicateurs: Source;Indicateurs: Date de mise à jour;Indicateurs: Commentaire;Indicateurs: Méthodologie;Indicateurs: Nom complet;Date;Fréquence;Milieu: Clé;Milieu: Code;Milieu: Nom;Sexe: Clé;Sexe: Code;Sexe: Nom;Régions: Clé;Régions: ISO;Régions: Nom;Faits: Valeur
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010529;2;Communal;28010559;2;Masculin;11;TN-11;Gouvernorat de Tunis;3391
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010529;2;Communal;28010569;3;Féminin;11;TN-11;Gouvernorat de Tunis;-433
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010539;3;Rural;28010559;2;Masculin;11;TN-11;Gouvernorat de Tunis;1271
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010539;3;Rural;28010569;3;Féminin;11;TN-11;Gouvernorat de Tunis;258
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010529;2;Communal;28010559;2;Masculin;12;TN-12;Gouvernorat de L'Ariana;77
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010529;2;Communal;28010569;3;Féminin;12;TN-12;Gouvernorat de L'Ariana;1212
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010539;3;Rural;28010569;3;Féminin;51;TN-81;Gouvernorat de Gabès;18
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010529;2;Communal;28010559;2;Masculin;52;TN-82;Gouvernorat de Medenine;5
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010529;2;Communal;28010569;3;Féminin;52;TN-82;Gouvernorat de Medenine;6
28010629;;Number;National Institute of Statistics;2016-08-23 08:03:13;;;La migration entre 2009 et 2014 selon les raisons de sortie;2014-01-01 00:00:00;Annuel;28010539;3;Rural;28010559;2;Masculin;52;TN-82;Gouvernorat de Medenine;3724
