Régions,Milieu,Sexe,AgeRange,PopulationScolore,,
Gouvernorat de Tunis,Communal,Masculin,6-9,27690,,
Gouvernorat de Tunis,Communal,Masculin,10-14,31186,, 
Gouvernorat de Tunis,Communal,Féminin,6-9,25254,,
Gouvernorat de Tunis,Communal,Féminin,10-14,29809,,
Gouvernorat de Tunis,Non communal,Masculin,6-9,0,,
Gouvernorat de Tunis,Non communal,Masculin,10-14,0,,
Gouvernorat de Tunis,Non communal,Féminin,6-9,0,,
Gouvernorat de Tunis,Non communal,Féminin,10-14,0,,
Gouvernorat de L'Ariana,Communal,Masculin,6-9,15327,,
Gouvernorat de L'Ariana,Communal,Masculin,10-14,16780,,
Gouvernorat de L'Ariana,Communal,Féminin,6-9,14224,,
Gouvernorat de L'Ariana,Communal,Féminin,10-14,15796,,
Gouvernorat de L'Ariana,Non communal,Masculin,6-9,2155,,
Gouvernorat de L'Ariana,Non communal,Masculin,10-14,2359,,
Gouvernorat de L'Ariana,Non communal,Féminin,6-9,2083,,
Gouvernorat de L'Ariana,Non communal,Féminin,10-14,2486,,
Gouvernorat de Ben Arous,Communal,Masculin,6-9,16365,,
Gouvernorat de Ben Arous,Communal,Masculin,10-14,19736,,
Gouvernorat de Ben Arous,Communal,Féminin,6-9,15519,,
Gouvernorat de Ben Arous,Communal,Féminin,10-14,18419,,
Gouvernorat de Ben Arous,Non communal,Masculin,6-9,1832,,
Gouvernorat de Ben Arous,Non communal,Masculin,10-14,1992,,
Gouvernorat de Ben Arous,Non communal,Féminin,6-9,1678,,
Gouvernorat de Ben Arous,Non communal,Féminin,10-14,1925,,
Gouvernorat de Manouba,Communal,Masculin,6-9,7924,,
Gouvernorat de Manouba,Communal,Masculin,10-14,9711,,
Gouvernorat de Manouba,Communal,Féminin,6-9,7525,,
Gouvernorat de Manouba,Communal,Féminin,10-14,8821,,
Gouvernorat de Manouba,Non communal,Masculin,6-9,2728,,
Gouvernorat de Manouba,Non communal,Masculin,10-14,3091,,
Gouvernorat de Manouba,Non communal,Féminin,6-9,2558,,
Gouvernorat de Manouba,Non communal,Féminin,10-14,3136,,
Gouvernorat de Nabeul,Communal,Masculin,6-9,16697,,
Gouvernorat de Nabeul,Communal,Masculin,10-14,19310,,
Gouvernorat de Nabeul,Communal,Féminin,6-9,15646,,
Gouvernorat de Nabeul,Communal,Féminin,10-14,18469,,
Gouvernorat de Nabeul,Non communal,Masculin,6-9,8037,,
Gouvernorat de Nabeul,Non communal,Masculin,10-14,8870,,
